Country,inflation_2019_2023 ,inflation_2024_2028,riskFreeRate
s,f,f,f
Albania,3.3,3.7,5.42
Algeria,6.04,7.16,8.93
Andorra,2.82,2.78,4.48
Angola,20.04,13.1,14.97
Antigua and Barbuda,3.34,2.52,4.22
Argentina,69.96,75.6,78.51
Armenia,4.08,4.56,6.29
Aruba,2.44,2.4,4.1
Australia,3.5,3.4,5.11
Austria,4.4,3.04,4.75
Azerbaijan,6.84,5,6.74
Bahamas,2.82,2.4,4.1
Bahrain,0.36,2.32,4.01
Bangladesh,6.36,7.52,9.3
Barbados,2.72,3.26,4.97
Belarus,8.16,6.88,8.65
Belgium,3.48,2.68,4.38
Belize,2.84,2.12,3.81
Benin,1.6,2.6,4.3
Bhutan,4.9,5.12,6.86
Bolivia,1.54,4.8,6.54
Bosnia and Herzegovina,4.32,2.84,4.54
Botswana,5.72,5.3,7.04
Brazil,5.82,3.84,5.56
Brunei Darussalam,1.46,1.26,2.94
Bulgaria,5.62,2.86,4.56
Burkina Faso,3.46,2.42,4.12
Burundi,12.16,17.6,19.55
Cabo Verde,2.92,2.4,4.1
Cambodia,3.02,3.46,5.17
Cameroon,4.16,4.94,6.68
Canada,3.34,2.44,4.14
Central African Republic,3.36,4.46,6.19
Chad,2.46,3.72,5.44
Chile,5.78,3.64,5.36
China,1.7,2.2,3.89
Colombia,6.28,4.4,6.13
Comoros,5.08,2.4,4.1
Democratic Republic of the Congo,10.86,10.74,12.57
Republic of Congo,2.26,3.72,5.44
Costa Rica,2.66,3.04,4.75
Croatia,4.52,2.94,4.64
Cyprus,2.72,2.4,4.1
Czech Republic,7.12,2.42,4.12
Côte d'Ivoire,3.4,2.98,4.69
Denmark,2.96,2.3,3.99
Djibouti,2.66,2.34,4.03
Dominica,2.72,2.58,4.28
Dominican Republic,5.48,4.84,6.58
Ecuador,1.16,1.78,3.47
Egypt,11.4,19.24,21.21
El Salvador,2.88,1.96,3.65
Equatorial Guinea,2.66,2.9,4.6
Estonia,6.94,3.34,5.05
Eswatini,3.98,3.8,5.52
Ethiopia,25.42,20.2,22.19
Fiji,1.2,3.8,5.52
Finland,3.02,2.22,3.91
France,3.1,2.26,3.95
Gabon,2.54,2.72,4.42
Gambia,9.78,9.44,11.25
Georgia,6.82,3.84,5.56
Germany,3.94,2.48,4.18
Ghana,19.24,13.16,15.03
Greece,2.66,2.5,4.2
Grenada,1.34,2.34,4.03
Guatemala,4.86,4.8,6.54
Guinea,10.2,11.48,13.33
Guinea-Bissau,4.04,2.6,4.3
Guyana,3.52,5.92,7.67
Haiti,25.56,16.86,18.8
Honduras,5.64,4.9,6.64
Hong Kong SAR,1.76,2.9,4.6
Hungary,8.7,3.82,5.54
Iceland,5.46,3.8,5.52
India,5.72,4.98,6.72
Indonesia,2.84,3.04,4.75
Iran,39.72,34.5,36.73
Iraq,3.16,4.58,6.31
Ireland,3.22,2.48,4.18
Israel,2.06,2.62,4.32
Italy,3.4,2.34,4.03
Jamaica,6.36,6.4,8.16
Japan,1.22,2.46,4.16
Jordan,1.76,3.02,4.73
Kazakhstan,9.92,7.46,9.24
Kenya,6.38,6.46,8.22
Kiribati,3.5,3.14,4.85
Korea Republic of,2.42,2.5,4.2
Kosovo,4.62,2.74,4.44
Kuwait,2.84,2.8,4.5
Kyrgyz Republic,8.8,6.32,8.08
Lao P.D.R.,13.28,10.44,12.27
Latvia,6.46,2.94,4.64
