2023-Jan-01
2024-Jan-01
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
RDY.US,0,4,4,0.0125889,0,1.82282,India,Dr. Reddy’s Laboratories Ltd ADR,Yes,0.238365,0.0545048,0,12.02,11038.2,2001-04-11,69.58,nan,3,1,0,1,0,https://www.drreddys.com
WIT.US,1,8,2,0.0103352,6,0.230955,India,Wipro Limited ADR,Yes,0.0959729,0.0389912,0,2.531,25746.8,2000-10-19,5.57,4.28,0,1,1,4,2,https://www.wipro.com
HMC.US,2,10,1,0.000746013,9,0.193724,Japan,Honda Motor Co Ltd ADR,Yes,0.0464502,0.0325901,0,5.706,52631.6,1957-12-01,30.91,nan,2,0,2,0,0,https://www.honda.co.jp
BABA.US,3,10,6,0.102827,4,0.299368,China,Alibaba Group Holding Ltd,No,0.0439018,0.0676054,0.007,14.895,217266,2014-09-19,77.51,139.24,33,8,4,0,0,https://www.alibabagroup.com
SBM.AU,4,11,0,5.02964e-09,11,0.167368,,St Barbara Ltd,No,-1.07558,0.0932299,3.699,47.987,147.235,,0.21,nan,nan,nan,nan,nan,nan,https://stbarbara.com.au
WHC.AU,5,14,13,0.182162,1,0.538925,Australia,Whitehaven Coal Ltd,Yes,0.383751,0.0858555,10.022,33.063,6090.45,2007-05-25,7.44,nan,nan,nan,nan,nan,nan,https://www.whitehavencoal.com.au
QAN.AU,6,15,8,0.109708,7,0.222536,Australia,Qantas Airways Ltd,Yes,0.399086,0.0673065,0.579,27.697,8760.23,,5.37,nan,nan,nan,nan,nan,nan,https://www.qantas.com
EGHT.US,7,19,9,0.145052,10,0.17243,United States,8x8 Inc Common Stock,No,-0.13834,0.134674,3.207,106.199,291.469,1997-07-02,3.78,4.79,3,1,8,0,1,https://www.8x8.com
PRU.AU,8,19,17,0.273242,2,0.353857,,Perseus Mining Ltd,Yes,0.200351,0.0873934,0.586,56.919,2328.19,2004-09-22,1.85,nan,nan,nan,nan,nan,nan,https://www.perseusmining.com
NHC.AU,9,27,24,0.333758,3,0.299408,Australia,New Hope Corporation Ltd,Yes,0.0984697,0.0878749,2.032,50.526,4657.8,,5.16,nan,nan,nan,nan,nan,nan,https://www.newhopegroup.com.au
PLS.AU,10,28,23,0.302638,5,0.251256,,Pilbara Minerals Ltd,Yes,0.56283,0.0857141,13.052,33.679,12690.8,2007-09-19,3.95,nan,nan,nan,nan,nan,nan,https://www.pilbaraminerals.com.au
WOR.US,11,28,16,0.252149,12,0.163926,United States,Worthington Industries Inc,Yes,0.0879924,0.068079,39.54,46.732,2973.28,1990-03-26,57.55,68,0,0,3,0,0,https://www.worthingtonindustries.com
HMY.US,12,34,3,0.0117198,31,0.0752421,South Africa,Harmony Gold Mining Company Limited,Yes,0.115641,0.0506728,0,32.766,2440.85,1996-09-30,6.15,4.28,0,0,1,1,0,https://www.harmony.co.za
VSTO.US,13,34,21,0.289482,13,0.148279,United States,Vista Outdoor Inc,No,-0.00459165,0.0640862,3.043,85.994,1921.12,2015-02-10,29.57,nan,4,0,1,0,0,https://vistaoutdoor.com
CAH.US,14,39,15,0.245964,24,0.0920812,United States,Cardinal Health Inc,No,-0.248582,0.0789112,0.397,90.643,22154.6,1987-12-31,100.8,98.23,2,1,13,0,0,https://www.cardinalhealth.com
CEK.XETRA,15,43,35,0.623439,8,0.203767,Germany,CeoTronics AG,No,0.0653864,0.0748036,48.025,4.242,27.39,,4.46,nan,nan,nan,nan,nan,nan,https://www.ceotronics.de
DOKA.SW,16,48,33,0.571757,15,0.130461,Switzerland,Dorma Kaba Holding AG,No,0.0474959,0.0736859,28.516,28.617,1766.68,,454,nan,nan,nan,nan,nan,nan,https://www.dormakaba.com
ETL.PA,17,49,10,0.165514,39,0.0639229,France,Eutelsat Communications SA,No,0.0425814,0.0500168,15.888,70.448,2172.44,2005-12-02,4.25,nan,nan,nan,nan,nan,nan,https://www.eutelsat.com
KAR.AU,18,50,12,0.178062,38,0.0648828,Australia,Karoon Energy Ltd,Yes,0.324895,0.0762561,2.933,24.282,1427.63,,2.03,nan,nan,nan,nan,nan,nan,https://www.karoonenergy.com.au
AMI.AU,19,51,5,0.0385958,46,0.0548846,Australia,Aurelia Metals,No,-0.179299,0.0953296,24.704,22.415,158.413,2007-05-08,0.11,nan,nan,nan,nan,nan,nan,https://www.aureliametals.com.au
BST.XETRA,20,52,25,0.356006,27,0.0858704,Germany,Bastei Lübbe AG,No,-0.023139,0.078695,60.253,5.039,73.9206,,5.9,nan,nan,nan,nan,nan,nan,https://www.luebbe.de
SYNA.US,21,55,39,0.722953,16,0.124285,United States,Synaptics Incorporated,No,0.0252776,0.0766024,0.812,92.157,3638.69,2002-01-29,114.08,nan,6,1,4,0,0,https://www.synaptics.com
SIG.US,22,55,30,0.477683,25,0.0916446,Bermuda,Signet Jewelers Ltd,Yes,0.129086,0.0739419,4.206,104.774,3261.88,1994-10-31,107.26,82.5,2,0,4,0,0,https://www.signetjewelers.com
DELL.US,23,57,22,0.294217,35,0.0677654,United States,Dell Technologies Inc,Yes,0.170211,0.0611585,3.323,77.109,48976,1988-06-22,76.5,64.82,10,4,5,2,0,https://www.delltechnologies.com
DXC.US,24,58,11,0.173767,47,0.0531875,United States,DXC Technology Co,No,-0.0733161,0.129632,0.986,97.905,4273.77,2017-02-01,22.87,25.31,0,0,12,1,0,https://www.dxc.technology
CE2.XETRA,25,63,40,0.730962,23,0.092781,Germany,CropEnergies AG,Yes,0.198245,0.0865915,74.02,8.698,725.598,,11.5,nan,nan,nan,nan,nan,nan,https://www.cropenergies.com
JWN.US,26,63,20,0.285917,43,0.0571279,United States,Nordstrom Inc,No,0.0350487,0.0567721,29.443,64.406,2295.83,1986-07-09,18.45,nan,4,0,11,3,2,https://press.nordstrom.com
JBH.AU,27,64,42,0.75478,22,0.0979152,Australia,JB Hi-Fi Ltd,Yes,0.09657,0.0808096,0.821,59.697,5015.15,,53.03,nan,nan,nan,nan,nan,nan,https://www.jbhifi.com.au
RSG.AU,28,71,14,0.197791,57,0.0438047,Australia,Resolute Mining Ltd,No,-0.0605063,0.0765368,4.071,62.971,777.103,,0.445,nan,nan,nan,nan,nan,nan,https://www.rml.com.au
DBI.US,29,71,37,0.675268,34,0.0710813,United States,Designer Brands Inc,Yes,0.209896,0.0535135,15.023,98.598,743.515,1991-06-10,8.85,9.33,0,0,5,0,0,https://www.designerbrands.com
AMWD.US,30,71,31,0.523588,40,0.062749,United States,American Woodmark Corporation,Yes,0.0753895,0.0651706,1.262,93.483,1224.65,1986-07-21,92.85,71,0,0,5,0,1,https://www.americanwoodmark.com
DDS.US,31,74,48,0.921522,26,0.0873441,United States,Dillards Inc,Yes,0.290988,0.0816524,31.889,75.452,4944.03,1989-06-30,403.65,nan,0,0,1,1,1,https://www.dillards.com
CSCO.US,32,75,55,1.09458,20,0.105449,United States,Cisco Systems Inc,Yes,0.123718,0.0869089,0.08,77.446,216732,1990-02-16,50.52,nan,8,3,16,1,0,https://www.cisco.com
IGO.AU,33,78,50,0.923311,28,0.0827415,,IGO Ltd,Yes,0.102073,0.0854429,12.097,44.066,9291.68,,9.05,nan,nan,nan,nan,nan,nan,https://www.igo.com.au
THO.US,34,78,36,0.648211,42,0.0591518,United States,Thor Industries Inc,No,0.0528297,0.0800341,4.663,100.885,5088.32,1987-12-30,118.25,nan,2,1,8,2,0,https://www.thorindustries.com
PLAY.US,35,79,34,0.572788,45,0.0551517,United States,Dave & Buster’s Entertainment,Yes,0.0839647,0.0583275,2.163,117.845,1501.37,1995-06-06,53.85,56.44,6,2,2,0,0,https://ir.daveandbusters.com
BSL.AU,36,81,27,0.434107,54,0.0466015,Australia,Bluescope Steel Ltd,No,0.0538089,0.0831846,0.424,35.322,8597.79,2002-07-15,23.4,nan,nan,nan,nan,nan,nan,https://www.bluescope.com
QRVO.US,37,88,58,1.11935,30,0.0780606,United States,Qorvo Inc,No,0.0173339,0.0792981,0.52,90.257,8648.43,1997-06-03,112.61,113.37,4,5,19,2,1,https://www.qorvo.com
