2023-Jan-01
2024-Jan-01
Ticker,ranking,metricRankSum,priceToValue_rank,priceToValue_value,residualFreeCashFlowToEnterpriseValue_rank,residualFreeCashFlowToEnterpriseValue_value,returnOnInvestedCapitalLessCostOfCapital_rank,returnOnInvestedCapitalLessCostOfCapital_value,Country,Name,ProducingExcess,ReturnOnInvestedCapital,CostOfCapital,PercentInsiders,PercentInstitutions,MarketCapitalizationMln,IPODate,Price,TargetPrice,StrongBuy,Buy,Hold,Sell,StrongSell,URL
RDY.US,0,10,3,0.0125889,0,1.82282,7,0.183861,India,Dr. Reddy’s Laboratories Ltd ADR,Yes,0.238365,0.0545048,0,12.02,11038.2,2001-04-11,69.58,nan,3,1,0,1,0,https://www.drreddys.com
WHC.AU,1,11,6,0.182162,1,0.538925,4,0.307535,Australia,Whitehaven Coal Ltd,Yes,0.383751,0.0858555,10.022,33.063,6090.45,2007-05-25,7.44,nan,nan,nan,nan,nan,nan,https://www.whitehavencoal.com.au
QAN.AU,2,13,4,0.109708,6,0.222536,3,0.331779,Australia,Qantas Airways Ltd,Yes,0.399086,0.0673065,0.579,27.697,8760.23,,5.37,nan,nan,nan,nan,nan,nan,https://www.qantas.com
PLS.AU,3,15,10,0.302638,4,0.251256,1,0.486614,,Pilbara Minerals Ltd,Yes,0.56283,0.0857141,13.052,33.679,12690.8,2007-09-19,3.95,nan,nan,nan,nan,nan,nan,https://www.pilbaraminerals.com.au
PRU.AU,4,27,8,0.273242,2,0.353857,17,0.124135,,Perseus Mining Ltd,Yes,0.200351,0.0873934,0.586,56.919,2328.19,2004-09-22,1.85,nan,nan,nan,nan,nan,nan,https://www.perseusmining.com
KAR.AU,5,32,5,0.178062,22,0.0648828,5,0.248679,Australia,Karoon Energy Ltd,Yes,0.324895,0.0762561,2.933,24.282,1427.63,,2.03,nan,nan,nan,nan,nan,nan,https://www.karoonenergy.com.au
DDS.US,6,42,21,0.921522,15,0.0873441,6,0.216487,United States,Dillards Inc,Yes,0.290988,0.0816524,31.889,75.452,4944.03,1989-06-30,403.65,nan,0,0,1,1,1,https://www.dillards.com
WIT.US,7,44,1,0.0103352,5,0.230955,38,0.0569817,India,Wipro Limited ADR,Yes,0.0959729,0.0389912,0,2.531,25746.8,2000-10-19,5.57,4.28,0,1,1,4,2,https://www.wipro.com
DBI.US,8,48,17,0.675268,20,0.0710813,11,0.156382,United States,Designer Brands Inc,Yes,0.209896,0.0535135,15.023,98.598,743.515,1991-06-10,8.85,9.33,0,0,5,0,0,https://www.designerbrands.com
CE2.XETRA,9,49,18,0.730962,13,0.092781,18,0.122014,Germany,CropEnergies AG,Yes,0.198245,0.0865915,74.02,8.698,725.598,,11.5,nan,nan,nan,nan,nan,nan,https://www.cropenergies.com
