#==============================================================================
# DATASET #0
#==============================================================================
2018.24 -0.874805
2018.49 -1.09425
2018.75 -1.5914
2019 -2.6607
2019.24 -3.44984
2019.49 -3.35391
2019.75 -3.64254
2020 -2.19584
2020.25 -0.135464
2020.5 -2.48024
2020.75 -1.79695
2021 -0.136033
2021.24 -0.142488
2021.49 -0.141634
2021.75 -0.140211
2022 -0.14116
2022.24 -0.147396
2022.49 -0.156975
2022.75 -0.160579
2023 -0.161527
2023.24 -0.161907
2023.49 -0.16276
2023.75 -0.168735
2024 -0.167218
2024.25 -0.166933


#==============================================================================
# DATASET #1
#==============================================================================
2025 -1.79695
2025.5 -1.79695
2025.5 -0.147396
2025 -0.147396
2025 -1.79695


#==============================================================================
# DATASET #2
#==============================================================================
2025.25 -0.147396
2025.25 -0.135464


#==============================================================================
# DATASET #3
#==============================================================================
2025.25 -0.147396
2025.25 -0.136869


#==============================================================================
# DATASET #4
#==============================================================================
2025 -0.136869
2025.5 -0.136869


#==============================================================================
# DATASET #5
#==============================================================================
2025.25 -1.79695
2025.25 -3.64254


#==============================================================================
# DATASET #6
#==============================================================================
2025.25 -1.79695
2025.25 -3.43065


#==============================================================================
# DATASET #7
#==============================================================================
2025 -3.43065
2025.5 -3.43065


#==============================================================================
# DATASET #8
#==============================================================================
2025 -0.166933
2025.5 -0.166933


#==============================================================================
# DATASET #9
#==============================================================================
2025 -0.166933
2025.5 -0.166933


#==============================================================================
# DATASET #10
#==============================================================================
2025 -0.166933
2025.5 -0.166933


